FIPS Code,Alt FIPS Code,State,State Abbreviation,population,% births to unmarried women,% women currently married,% children with single parent,% children read to every day past week,% children 4+ hours television past week,% children 4+ hours on electronic device past week,"% get emotional support sometimes, rarely, or never",Average number of close friends,% neighbors who do favors at least once/mo,% who trust all/most neighbors,"Membership Organizations p 1,000","Non-religious non-profits plus religious congregations p 1,000",% attended meeting where politics discussed last year,% participated in demonstration,% who volunteered for a group,% attended public meeting,% worked with neighbors to improve/fix something,% served on committee or as group officer,"Presidential election voting rate, 2012 & 2016",Mail-back census response rate,% have some/great confidence in corporations to do right,% have some/great confidence in media,% have some/great confidence in public schools,"Violent Crimes p 100,000",% made $25+ contribution to charitable cause
31,31,Nebraska,NE,1881259,29.8,66.4,27.8,33.8,5.7,9.2,16.7,6.3,49.3,68.2,2.7,7.5,13.5,2.5,32.3,9.9,8.2,14.6,63.3,76,69.2,62.5,90.1,280.4,56.3
32,32,Nevada,NV,2839172,35.3,55.5,35.7,35.4,11.5,14.9,24.2,4.6,33.1,41.2,0.9,2.9,7.7,2.6,20,7.3,5.6,6.5,58.5,69,57.9,47.6,75.5,635.6,54.8
33,33,New Hampshire,NH,1327503,32.2,65.9,27.4,47.1,5.8,7.2,17,6.6,42.5,70.4,2,6.3,19,5,30.4,16.1,13,11.7,72.5,70,69.9,59.6,89.3,196.1,58
34,34,New Jersey,NJ,8915456,30.3,61.7,28.2,35.3,11.2,12.5,21.1,5.6,40.6,56.7,1.6,4.6,9.8,2.4,22.2,6.3,6.2,7.2,63.3,72,61.5,59.5,87.9,261.2,53.7
35,35,New Mexico,NM,2082669,43.1,52.2,38.9,42.9,9.3,11.8,19.3,6.5,34.5,55.4,1.8,5.1,16.2,7.1,22.3,10.3,7.6,7,51,63,42.8,45.9,76.3,597.4,45.3
36,36,New York,NY,19697457,33.5,54.3,33.2,40.9,8.6,10.1,22.6,5.8,38,45.4,2.1,4.9,7.5,2.8,19.8,7.5,6.7,7.7,55.4,67,57.6,57.1,82.3,381.8,44.7
37,37,North Carolina,NC,9940828,36.8,57.5,34.5,41.4,8.5,11.5,19.3,5.9,40.1,55.3,2.2,5.4,7.5,2.2,25.8,6.7,6.3,10.6,65.3,74,62,49.5,85.4,329.5,47.9
38,38,North Dakota,ND,736162,29.8,68.9,26.5,36.1,7.7,7.8,15.2,6.2,46.3,71.4,3,8.4,10.7,1.7,32.3,10.5,8.8,13.4,62.5,73,72.9,57.1,89.9,265.1,53.8
39,39,Ohio,OH,11586941,40.5,59.2,34.6,39.4,8.8,12.7,18.8,6.5,41.3,57.8,2.2,5.7,11.4,3.7,27.4,7.1,7.5,10.1,64.6,76,64.3,52.8,82.8,284.9,50.1
40,40,Oklahoma,OK,3875589,36.2,59.3,33.1,32,7.9,12,19.3,5.5,39.6,55.7,2.3,5.5,11.8,2.3,24.1,9.2,8.1,11.4,50.8,66,64.2,50.9,86.5,406,47
41,41,Oregon,OR,3982267,31.4,61,29.8,43,7.4,10,15.6,6.9,44.5,62.9,2.2,5.7,14.4,7.3,31.3,11.9,13.9,13.1,68,74,58.9,49.1,85,232.3,56.6
42,42,Pennsylvania,PA,12783977,38.2,60.1,32.5,37.2,8.4,11.3,21.3,5.8,45.3,62.3,2.4,5.6,8.7,3.7,29.7,7.5,8.5,10,61.8,76,66,56.4,80.2,314.1,55.7
