id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22176404,"Departamento cerca de Polanco, Antara y del centro",74815871,Jessica,,Miguel Hidalgo,19.45984,-99.21302,Private room,344,1,10,1/19/2019,0.55,1,101
22177195,Habitación amplia céntrica,162007397,Oscar,,Cuauhtémoc,19.45365,-99.15813,Private room,344,3,0,,,1,90
22200499,Recamara amueblada con vestidor y baño,162222903,Abino,,Tlalpan,19.23749,-99.23407,Private room,344,1,0,,,1,179
22248923,Depto. Centro de la Ciudad de México.,162573538,Javi,,Cuauhtémoc,19.4323,-99.14265,Private room,344,1,1,2/5/2019,0.21,1,232
22377513,Vive en la Colonia Roma 210,145671493,Israel,,Cuauhtémoc,19.41352,-99.16244,Private room,344,1,51,4/16/2019,2.79,3,363
22379167,Habitación céntrica y cómoda en la CDMX,8576301,Nancy,,Benito Juárez,19.361,-99.13986,Private room,344,1,0,,,1,362
22386160,cuarto comodo,157666526,Miguel,,Azcapotzalco,19.49601,-99.16109,Private room,344,1,0,,,1,365
22386164,Cálida habitación en Coyoacán,163710133,Churubusco 230,,Benito Juárez,19.35837,-99.15274,Private room,344,1,1,1/16/2018,0.06,2,174
22441564,Departamento confortable,163793665,Ricardo,,Azcapotzalco,19.48656,-99.19756,Entire home/apt,344,1,7,9/16/2018,0.4,1,363
22455519,"Casa Alucarda CDMX AIRPORT, Autódromo HR, downtown",152607888,Leslie,,Venustiano Carranza,19.43097,-99.09997,Shared room,344,1,1,2/26/2018,0.06,2,365
22481737,Cozy Private Room,47224543,Estrella,,Cuauhtémoc,19.41257,-99.17132,Private room,344,2,13,6/4/2019,0.74,3,327
22486265,Beautiful room-balcony in San Angel 28 mts2,164890906,Silvia,,Álvaro Obregón,19.35073,-99.19834,Private room,344,3,15,3/1/2019,1.16,2,252
22573070,Room available all amenities. Dpto compartido,165924002,Rod,,Azcapotzalco,19.46049,-99.16606,Private room,344,3,0,,,1,89
22574597,Bright Room in Condesa-Chapultepec,33042256,Priscila,,Miguel Hidalgo,19.41098,-99.18832,Private room,344,3,1,1/23/2018,0.06,4,365
22626844,Hospedaje en casa particular con ambiente familiar,162108826,Joel,,Tlalpan,19.30582,-99.13007,Private room,344,2,1,2/18/2018,0.06,1,90
22631719,Beautiful room in Narvarte with exclusive bathroom,16065256,Tanya & Sam,,Benito Juárez,19.38251,-99.1582,Private room,344,2,53,5/26/2019,3.17,1,29
22670426,HABITACION CON BAÑO PRIVADO.,167031167,Salvador,,Benito Juárez,19.37314,-99.18465,Private room,344,1,14,4/2/2019,0.82,4,0
22764886,Un espacio placentero y bien ubicado,168141623,Susana,,Cuauhtémoc,19.40683,-99.15968,Private room,344,1,55,6/15/2019,3.23,1,263
22766939,"Cute room, spot on Reforma near the Centro",82591269,Paola,,Cuauhtémoc,19.44063,-99.14569,Private room,344,1,6,9/4/2018,0.35,1,0
22789907,COZY APARTMENT NEARAIRPORT/DEPTO CERCA AEROPUERTO,152385749,Charly,,Iztacalco,19.40971,-99.06546,Entire home/apt,344,3,22,4/19/2019,1.34,1,325
22791760,Maria Anto,48778951,Maria,,Tlalpan,19.30066,-99.13796,Private room,344,1,16,9/14/2018,0.95,2,318
22832934,Habitación matrimonial en el corazón de Coyoacan,94098558,Gina,,Coyoacán,19.35506,-99.15819,Private room,344,1,25,6/2/2019,2.01,5,162
22833253,Habitación azul matrimonial Coyoacán,94098558,Gina,,Coyoacán,19.35299,-99.15946,Private room,344,1,6,4/24/2019,0.68,5,170
22883314,"Mini Loft Escandón, mujeres y parejas",169337424,Adriana,,Miguel Hidalgo,19.40067,-99.18001,Private room,344,3,4,5/25/2019,1.12,1,349
22900424,MEXICO CITY´S AIRPORT (T1) -Breakfast included-,156529088,Arely,,Venustiano Carranza,19.43602,-99.09681,Private room,344,1,24,5/31/2019,1.56,1,171
22908545,"Acogedor departamento c/ estacionamiento, Sur CDMX",138847234,Gustavo,,Tlalpan,19.27519,-99.15102,Private room,344,1,24,2/28/2019,1.8,1,232
22920259,Excelente estancia en zona centro (Tlatelolco),169696562,Wendy,,Cuauhtémoc,19.45829,-99.13934,Private room,344,1,101,6/13/2019,5.99,1,359
22983800,Ya no está disponible,147716343,Paloma,,Venustiano Carranza,19.43528,-99.08507,Private room,344,1,0,,,1,0
23000921,Anzures: Comodidad y encanto cosmopolita,37632569,Ricardo,,Miguel Hidalgo,19.43604,-99.17705,Private room,344,7,4,7/21/2018,0.25,4,349
23020514,Stylish room in the heart of the Roma district,43212067,Gerardo,,Cuauhtémoc,19.42173,-99.16672,Private room,344,30,8,2/21/2019,0.52,2,69
