Year,Team,Record,Winning Percentage
1950,Nationals,32-34,0.485
1949,Nationals,51-13,0.797
2016,Suns,15-29,0.341
2015,Suns,23-59,0.28
2014,Suns,39-43,0.476
2013,Suns,48-34,0.585
2012,Suns,25-57,0.305
2011,Suns,33-33,0.5
2010,Suns,40-42,0.488
2009,Suns,54-28,0.659
2008,Suns,46-36,0.561
2007,Suns,55-27,0.671
2006,Suns,61-21,0.744
2005,Suns,54-28,0.659
2004,Suns,62-20,0.756
2003,Suns,29-53,0.354
2002,Suns,44-38,0.537
2001,Suns,36-46,0.439
2000,Suns,51-31,0.622
1999,Suns,53-29,0.646
1998,Suns,27-23,0.54
1997,Suns,56-26,0.683
1996,Suns,40-42,0.488
1995,Suns,41-41,0.5
1994,Suns,59-23,0.72
1993,Suns,56-26,0.683
1992,Suns,62-20,0.756
1991,Suns,53-29,0.646
1990,Suns,55-27,0.671
1989,Suns,54-28,0.659
1988,Suns,55-27,0.671
1987,Suns,28-54,0.341
1986,Suns,36-46,0.439
1985,Suns,32-50,0.39
1984,Suns,36-46,0.439
1983,Suns,41-41,0.5
1982,Suns,53-29,0.646
1981,Suns,46-36,0.561
1980,Suns,57-25,0.695
1979,Suns,55-27,0.671
1978,Suns,50-32,0.61
1977,Suns,49-33,0.598
1976,Suns,34-48,0.415
1975,Suns,42-40,0.512
1974,Suns,32-50,0.39
1973,Suns,30-52,0.366
1972,Suns,38-44,0.463
1971,Suns,49-33,0.598
1970,Suns,48-34,0.585
1969,Suns,39-43,0.476
1968,Suns,16-66,0.195
2016,Trail Blazers,19-27,0.413
2015,Trail Blazers,44-38,0.537
2014,Trail Blazers,51-31,0.622
2013,Trail Blazers,54-28,0.659
2012,Trail Blazers,33-49,0.402
2011,Trail Blazers,28-38,0.424
2010,Trail Blazers,48-34,0.585
2009,Trail Blazers,50-32,0.61
2008,Trail Blazers,54-28,0.659
2007,Trail Blazers,41-41,0.5
2006,Trail Blazers,32-50,0.39
2005,Trail Blazers,21-61,0.256
2004,Trail Blazers,27-55,0.329
2003,Trail Blazers,41-41,0.5
2002,Trail Blazers,50-32,0.61
2001,Trail Blazers,49-33,0.598
2000,Trail Blazers,50-32,0.61
1999,Trail Blazers,59-23,0.72
1998,Trail Blazers,35-15,0.7
1997,Trail Blazers,46-36,0.561
1996,Trail Blazers,49-33,0.598
1995,Trail Blazers,44-38,0.537
1994,Trail Blazers,44-38,0.537
1993,Trail Blazers,47-35,0.573
1992,Trail Blazers,51-31,0.622
1991,Trail Blazers,57-25,0.695
1990,Trail Blazers,63-19,0.768
1989,Trail Blazers,59-23,0.72
1988,Trail Blazers,39-43,0.476
1987,Trail Blazers,53-29,0.646
1986,Trail Blazers,49-33,0.598
1985,Trail Blazers,40-42,0.488
1984,Trail Blazers,42-40,0.512
1983,Trail Blazers,48-34,0.585
1982,Trail Blazers,46-36,0.561
1981,Trail Blazers,42-40,0.512
1980,Trail Blazers,45-37,0.549
1979,Trail Blazers,38-44,0.463
1978,Trail Blazers,45-37,0.549
1977,Trail Blazers,58-24,0.707
1976,Trail Blazers,49-33,0.598
1975,Trail Blazers,37-45,0.451
1974,Trail Blazers,38-44,0.463
1973,Trail Blazers,27-55,0.329
1972,Trail Blazers,21-61,0.256
1971,Trail Blazers,18-64,0.22
1970,Trail Blazers,29-53,0.354
2016,Kings,16-27,0.372
2015,Kings,33-49,0.402
2014,Kings,29-53,0.354
2013,Kings,28-54,0.341
2012,Kings,28-54,0.341
2011,Kings,22-44,0.333
2010,Kings,24-58,0.293
2009,Kings,25-57,0.305
2008,Kings,17-65,0.207
2007,Kings,38-44,0.463
2006,Kings,33-49,0.402
2005,Kings,44-38,0.537
2004,Kings,50-32,0.61
2003,Kings,55-27,0.671
2002,Kings,59-23,0.72
2001,Kings,61-21,0.744
2000,Kings,55-27,0.671
1999,Kings,44-38,0.537
1998,Kings,27-23,0.54
1997,Kings,27-55,0.329
1996,Kings,34-48,0.415
1995,Kings,39-43,0.476
1994,Kings,39-43,0.476
1993,Kings,28-54,0.341
1992,Kings,25-57,0.305
1991,Kings,29-53,0.354
1990,Kings,25-57,0.305
1989,Kings,23-59,0.28
1988,Kings,27-55,0.329
1987,Kings,24-58,0.293
1986,Kings,29-53,0.354
1985,Kings,37-45,0.451
1984,Kings,31-51,0.378
1983,Kings,38-44,0.463
1982,Kings,45-37,0.549
1981,Kings,30-52,0.366
1980,Kings,40-42,0.488
1979,Kings,47-35,0.573
1978,Kings,48-34,0.585
1977,Kings,31-51,0.378
1976,Kings,40-42,0.488
1975,Kings,31-51,0.378
1974,Kings,44-38,0.537
1973,Kings,33-49,0.402
1972,Kings,36-46,0.439
1971,Royals,30-52,0.366
1970,Royals,33-49,0.402
1969,Royals,36-46,0.439
1968,Royals,41-41,0.5
1967,Royals,39-43,0.476
1966,Royals,39-42,0.481
1965,Royals,45-35,0.563
1964,Royals,48-32,0.6
1963,Royals,55-25,0.688
1962,Royals,42-38,0.525
1961,Royals,43-37,0.538
1960,Royals,33-46,0.418
1959,Royals,19-56,0.253
1958,Royals,19-53,0.264
1957,Royals,33-39,0.458
1956,Royals,31-41,0.431
1955,Royals,31-41,0.431
1954,Royals,29-43,0.403
1953,Royals,44-28,0.611
1952,Royals,44-26,0.629
1951,Royals,41-25,0.621
1950,Royals,41-27,0.603
1949,Royals,51-17,0.75
1948,Royals,45-15,0.75
2016,Spurs,34-9,0.791
2015,Spurs,67-15,0.817
2014,Spurs,55-27,0.671
2013,Spurs,62-20,0.756
2012,Spurs,58-24,0.707
2011,Spurs,50-16,0.758
2010,Spurs,61-21,0.744
2009,Spurs,50-32,0.61
2008,Spurs,54-28,0.659
2007,Spurs,56-26,0.683
2006,Spurs,58-24,0.707
2005,Spurs,63-19,0.768
2004,Spurs,59-23,0.72
2003,Spurs,57-25,0.695
2002,Spurs,60-22,0.732
2001,Spurs,58-24,0.707
2000,Spurs,58-24,0.707
1999,Spurs,53-29,0.646
1998,Spurs,37-13,0.74
1997,Spurs,56-26,0.683
1996,Spurs,20-62,0.244
1995,Spurs,59-23,0.72
1994,Spurs,62-20,0.756
1993,Spurs,55-27,0.671
1992,Spurs,49-33,0.598
1991,Spurs,47-35,0.573
1990,Spurs,55-27,0.671
1989,Spurs,56-26,0.683
1988,Spurs,21-61,0.256
1987,Spurs,31-51,0.378
1986,Spurs,28-54,0.341
1985,Spurs,35-47,0.427
1984,Spurs,41-41,0.5
1983,Spurs,37-45,0.451
1982,Spurs,53-29,0.646
1981,Spurs,48-34,0.585
1980,Spurs,52-30,0.634
1979,Spurs,41-41,0.5
1978,Spurs,48-34,0.585
1977,Spurs,52-30,0.634
1976,Spurs,44-38,0.537
2016,Raptors,28-16,0.636
2015,Raptors,56-26,0.683
2014,Raptors,49-33,0.598
2013,Raptors,48-34,0.585
2012,Raptors,34-48,0.415
2011,Raptors,23-43,0.348
2010,Raptors,22-60,0.268
2009,Raptors,40-42,0.488
2008,Raptors,33-49,0.402
2007,Raptors,41-41,0.5
2006,Raptors,47-35,0.573
2005,Raptors,27-55,0.329
2004,Raptors,33-49,0.402
2003,Raptors,33-49,0.402
2002,Raptors,24-58,0.293
2001,Raptors,42-40,0.512
2000,Raptors,47-35,0.573
1999,Raptors,45-37,0.549
1998,Raptors,23-27,0.46
1997,Raptors,16-66,0.195
1996,Raptors,30-52,0.366
1995,Raptors,21-61,0.256
2016,Jazz,29-16,0.644
2015,Jazz,40-42,0.488
2014,Jazz,38-44,0.463
2013,Jazz,25-57,0.305
2012,Jazz,43-39,0.524
2011,Jazz,36-30,0.545
2010,Jazz,39-43,0.476
2009,Jazz,53-29,0.646
2008,Jazz,48-34,0.585
2007,Jazz,54-28,0.659
2006,Jazz,51-31,0.622
2005,Jazz,41-41,0.5
2004,Jazz,26-56,0.317
2003,Jazz,42-40,0.512
2002,Jazz,47-35,0.573
2001,Jazz,44-38,0.537
2000,Jazz,53-29,0.646
1999,Jazz,55-27,0.671
1998,Jazz,37-13,0.74
1997,Jazz,62-20,0.756
1996,Jazz,64-18,0.78
1995,Jazz,55-27,0.671
1994,Jazz,60-22,0.732
1993,Jazz,53-29,0.646
1992,Jazz,47-35,0.573
1991,Jazz,55-27,0.671
1990,Jazz,54-28,0.659
1989,Jazz,55-27,0.671
1988,Jazz,51-31,0.622
1987,Jazz,47-35,0.573
1986,Jazz,44-38,0.537
1985,Jazz,42-40,0.512
1984,Jazz,41-41,0.5
1983,Jazz,45-37,0.549
1982,Jazz,30-52,0.366
1981,Jazz,25-57,0.305
1980,Jazz,28-54,0.341
1979,Jazz,24-58,0.293
1978,Jazz,26-56,0.317
1977,Jazz,39-43,0.476
1976,Jazz,35-47,0.427
1975,Jazz,38-44,0.463
1974,Jazz,23-59,0.28
2016,Wizards,23-20,0.535
2015,Wizards,41-41,0.5
2014,Wizards,46-36,0.561
2013,Wizards,44-38,0.537
2012,Wizards,29-53,0.354
2011,Wizards,20-46,0.303
2010,Wizards,23-59,0.28
2009,Wizards,26-56,0.317
2008,Wizards,19-63,0.232
2007,Wizards,43-39,0.524
2006,Wizards,41-41,0.5
2005,Wizards,42-40,0.512
2004,Wizards,45-37,0.549
2003,Wizards,25-57,0.305
2002,Wizards,37-45,0.451
2001,Wizards,37-45,0.451
2000,Wizards,19-63,0.232
1999,Wizards,29-53,0.354
1998,Wizards,18-32,0.36
1997,Wizards,42-40,0.512
1996,Bullets,44-38,0.537
1995,Bullets,39-43,0.476
1994,Bullets,21-61,0.256
1993,Bullets,24-58,0.293
1992,Bullets,22-60,0.268
1991,Bullets,25-57,0.305
1990,Bullets,30-52,0.366
1989,Bullets,31-51,0.378
1988,Bullets,40-42,0.488
1987,Bullets,38-44,0.463
1986,Bullets,42-40,0.512
1985,Bullets,39-43,0.476
1984,Bullets,40-42,0.488
1983,Bullets,35-47,0.427
1982,Bullets,42-40,0.512
1981,Bullets,43-39,0.524
1980,Bullets,39-43,0.476
1979,Bullets,39-43,0.476
1978,Bullets,54-28,0.659
1977,Bullets,44-38,0.537
1976,Bullets,48-34,0.585
1975,Bullets,48-34,0.585
1974,Bullets,60-22,0.732
1973,Bullets,47-35,0.573
1972,Bullets,52-30,0.634
1971,Bullets,38-44,0.463
1970,Bullets,42-40,0.512
1969,Bullets,50-32,0.61
1968,Bullets,57-25,0.695
1967,Bullets,36-46,0.439
1966,Bullets,20-61,0.247
1965,Bullets,38-42,0.475
1964,Bullets,37-43,0.463
1963,Bullets,31-49,0.388
1962,Zephyrs,25-55,0.313
1961,Packers,18-62,0.225
